bandnumber,species,sex,wing,weight,hallux,tail,maturity
1207-77633,Red-tailed,F,358.0,1025.0,29.0,204,
1207-79184,Red-tailed,M,330.0,1000.0,30.2,220,Infant
1207-99560,Red-tailed,M,396.0,1195.0,23.8,228,
1213-58901,Sharp-shinned,F,197.0,165.0,9.6,150,Infant
1213-58902,Sharp-shinned,M,160.0,90.0,11.8,124,Infant
1213-58903,Sharp-shinned,M,161.0,105.0,11.2,131,Infant
1213-58904,Sharp-shinned,M,168.0,95.0,11.4,137,Infant
1213-58905,Sharp-shinned,M,160.0,95.0,10.8,126,Infant
1213-58906,Sharp-shinned,M,156.0,90.0,11.3,135,Infant
1213-58907,Sharp-shinned,M,158.0,95.0,11.1,129,Infant
1213-58908,Sharp-shinned,F,192.0,190.0,14.2,155,Infant
1213-58909,Sharp-shinned,F,195.0,165.0,14.5,153,Infant
1213-58910,Sharp-shinned,F,200.0,185.0,15.2,158,Infant
1253-98801,Sharp-shinned,F,205.0,170.0,14.3,157,Infant
1253-98802,Sharp-shinned,F,205.0,180.0,15.0,164,Infant
1253-98803,Sharp-shinned,F,202.0,134.0,13.7,158,Infant
1287-79133,Red-tailed,F,380.0,960.0,30.1,220,Infant
1307-79115,Red-tailed,F,381.0,1010.0,31.7,210,Infant
1343-78401,Sharp-shinned,F,213.0,125.0,14.4,156,Infant
1343-78402,Sharp-shinned,F,202.0,,,164,Infant
1343-78403,Sharp-shinned,F,195.0,155.0,14.6,155,Infant
1343-78405,Sharp-shinned,F,204.0,180.0,12.4,186,Infant
1343-78476,Sharp-shinned,F,202.0,201.0,14.9,165,Infant
1343-78477,Sharp-shinned,F,210.0,181.0,15.0,170,
1343-78478,Sharp-shinned,F,196.0,185.0,14.0,146,
1343-78479,Sharp-shinned,F,203.0,176.0,14.7,161,Infant
1373-35272,Sharp-shinned,F,194.0,,14.2,154,
1387-079147,Red-tailed,F,394.0,1075.0,29.7,211,
1387-170,Red-tailed,F,360.0,890.0,28.4,213,Infant
1387-19197,Red-tailed,M,371.0,895.0,31.0,204,Infant
1387-19220,Red-tailed,M,408.0,1270.0,33.0,236,Infant
1387-19298,Red-tailed,F,367.0,1060.0,31.0,204,
1387-19299,Red-tailed,F,375.0,960.0,29.3,214,
1387-79106,Red-tailed,M,385.0,1125.0,31.4,233,Infant
1387-79107,Red-tailed,M,391.0,1050.0,32.2,221,Infant
1387-79108,Red-tailed,F,410.0,1210.0,308.0,227,Infant
1387-79109,Red-tailed,M,385.0,980.0,27.8,223,Infant
1387-79111,Red-tailed,F,381.0,1000.0,29.8,219,Infant
1387-79112,Red-tailed,M,405.0,1085.0,29.9,238,Infant
1387-79113,Red-tailed,F,380.0,810.0,28.7,229,Infant
1387-79114,Red-tailed,M,381.0,905.0,29.1,227,Infant
1387-79116,Red-tailed,M,403.0,980.0,29.7,234,Infant
1387-79117,Red-tailed,F,382.0,860.0,29.0,219,Infant
1387-79118,Red-tailed,M,382.0,970.0,29.0,216,Infant
1387-79119,Red-tailed,F,399.0,980.0,29.9,230,Infant
1387-79120,Red-tailed,M,380.0,985.0,29.0,223,Infant
1387-79121,Red-tailed,F,375.0,990.0,30.6,220,Infant
1387-79122,Red-tailed,F,375.0,990.0,29.5,223,Infant
1387-79123,Red-tailed,F,388.0,985.0,29.8,220,Infant
1387-79124,Red-tailed,M,277.0,940.0,30.4,218,Infant
1387-79125,Red-tailed,M,365.0,1035.0,30.8,232,Infant
1387-79126,Red-tailed,F,383.0,965.0,31.8,221,Infant
1387-79127,Red-tailed,M,391.0,1125.0,30.9,220,Infant
1387-79128,Red-tailed,F,389.0,975.0,30.3,232,Infant
1387-79129,Red-tailed,M,392.0,1140.0,29.8,214,Infant
1387-79130,Red-tailed,F,375.0,950.0,29.9,225,Infant
1387-79131,Red-tailed,M,385.0,1045.0,27.5,229,Infant
1387-79132,Red-tailed,F,363.0,1090.0,28.8,202,Infant
1387-79134,Red-tailed,M,385.0,955.0,30.1,215,Infant
1387-79135,Red-tailed,F,385.0,1110.0,30.2,122,Infant
1387-79136,Red-tailed,F,380.0,900.0,26.5,215,Infant
1387-79137,Red-tailed,M,384.0,1075.0,30.7,208,Infant
1387-79138,Red-tailed,F,373.0,980.0,32.1,211,Infant
1387-79139,Red-tailed,M,381.0,940.0,34.2,220,Infant
1387-79140,Red-tailed,F,363.0,1070.0,30.4,204,Infant
1387-79141,Red-tailed,M,409.0,1120.0,31.6,229,Infant
1387-79142,Red-tailed,F,390.0,1060.0,29.0,205,
1387-79143,Red-tailed,M,420.0,1125.0,27.4,244,Infant
1387-79144,Red-tailed,F,381.0,1100.0,28.2,225,Infant
1387-79146,Red-tailed,M,398.0,1095.0,31.4,209,
1387-79148,Red-tailed,F,394.0,1140.0,29.2,216,Infant
1387-79149,Red-tailed,F,388.0,1105.0,28.9,217,Infant
1387-79150,Red-tailed,M,397.0,1010.0,31.4,228,Infant
1387-79151,Red-tailed,F,384.0,1075.0,30.5,218,Infant
1387-79152,Red-tailed,M,379.0,1060.0,30.9,220,Infant
1387-79153,Red-tailed,M,386.0,1100.0,30.2,211,Infant
1387-79154,Red-tailed,F,397.0,1010.0,30.6,222,Infant
1387-79155,Red-tailed,M,382.0,1000.0,30.1,225,Infant
1387-79156,Red-tailed,F,386.0,980.0,30.2,221,Infant
1387-79157,Red-tailed,M,417.0,1240.0,32.4,231,Infant
1387-79158,Red-tailed,F,403.0,1360.0,33.1,235,Infant
1387-79159,Red-tailed,M,377.0,1055.0,29.1,200,
1387-79160,Red-tailed,F,381.0,1030.0,29.9,210,Infant
1387-79161,Red-tailed,,403.0,1040.0,29.9,229,Infant
1387-79162,Red-tailed,M,386.0,1050.0,29.4,207,
1387-79163,Red-tailed,F,402.0,1110.0,30.0,238,Infant
1387-79164,Red-tailed,M,374.0,1010.0,30.1,197,
1387-79165,Red-tailed,M,370.0,1060.0,29.8,215,Infant
1387-79166,Red-tailed,F,390.0,920.0,30.0,214,Infant
1387-79167,Red-tailed,M,398.0,1195.0,29.8,230,Infant
1387-79171,Red-tailed,M,355.0,900.0,29.0,214,Infant
1387-79172,Red-tailed,M,387.0,1120.0,50.2,221,Infant
1387-79173,Red-tailed,M,409.0,1100.0,32.6,215,Infant
1387-79174,Red-tailed,M,363.0,920.0,30.2,214,Infant
1387-79175,Red-tailed,F,381.0,1025.0,30.8,232,Infant
1387-79176,Red-tailed,M,350.0,940.0,29.1,205,
1387-79177,Red-tailed,F,398.0,1240.0,30.8,243,Infant
1387-79178,Red-tailed,F,411.0,1240.0,32.7,276,Infant
1387-79179,Red-tailed,F,383.0,1030.0,29.8,216,Infant
1387-79180,Red-tailed,F,390.0,1250.0,32.0,210,Infant
1387-79181,Red-tailed,M,390.0,999.0,29.8,220,Infant
1387-79182,Red-tailed,F,365.0,1120.0,30.8,260,
1387-79183,Red-tailed,M,345.0,1000.0,30.1,200,
1387-79185,Red-tailed,M,313.0,930.0,28.9,215,Infant
1387-79186,Red-tailed,F,384.0,980.0,30.4,215,Infant
1387-79187,Red-tailed,F,390.0,900.0,28.6,225,Infant
1387-79188,Red-tailed,M,380.0,1040.0,30.9,212,
1387-79189,Red-tailed,F,370.0,950.0,30.5,215,Infant
1387-79190,Red-tailed,M,415.0,1320.0,33.9,235,Infant
1387-79191,Red-tailed,M,410.0,1280.0,32.7,229,Infant
1387-79192,Red-tailed,F,412.0,1310.0,31.1,251,Infant
1387-79193,Red-tailed,M,375.0,920.0,28.8,210,Infant
1387-79195,Red-tailed,M,384.0,940.0,29.8,220,Infant
1387-79196,Red-tailed,M,398.0,1280.0,32.4,248,Infant
1387-79197,Red-tailed,M,425.0,1220.0,33.0,241,Infant
1387-79199,Red-tailed,F,393.0,1015.0,31.1,227,Infant
1387-79200,Red-tailed,F,388.0,890.0,31.2,231,Infant
1387-79794,Red-tailed,F,410.0,1135.0,32.4,267,Infant
1387-92101,Red-tailed,M,354.0,980.0,29.3,220,Infant
1387-92102,Red-tailed,F,417.0,1260.0,32.8,234,
1387-92103,Red-tailed,M,379.0,1050.0,31.3,226,Infant
1387-92104,Red-tailed,M,377.0,980.0,29.1,209,
1387-92105,Red-tailed,F,372.0,920.0,30.0,228,Infant
1387-92106,Red-tailed,F,368.0,1060.0,26.9,223,Infant
1387-92125,Red-tailed,M,392.0,1142.0,33.0,235,Infant
1387-92127,Red-tailed,F,365.0,813.0,30.1,221,Infant
1387-92128,Red-tailed,F,352.0,1024.0,30.3,216,Infant
1387-92129,Red-tailed,M,370.0,1023.0,30.1,216,Infant
1387-92130,Red-tailed,M,364.0,917.0,29.6,216,Infant
1387-92131,Red-tailed,F,367.0,946.0,28.9,221,Infant
1387-92132,Red-tailed,M,233.0,337.0,31.9,196,Infant
1387-92133,Red-tailed,M,362.0,832.0,32.6,210,Infant
1387-92134,Red-tailed,F,368.0,1244.0,30.2,220,Infant
1387-92135,Red-tailed,M,367.0,974.0,29.6,221,Infant
1387-92136,Red-tailed,F,400.0,1289.0,32.1,242,Infant
1387-92137,Red-tailed,M,379.0,999.0,32.0,220,Infant
1387-92138,Red-tailed,F,360.0,994.0,30.4,210,Infant
1387-92139,Red-tailed,M,362.0,1004.0,31.4,221,Infant
1387-92140,Red-tailed,F,378.0,1097.0,33.4,236,Infant
1387-92141,Red-tailed,M,372.0,1092.0,31.8,235,Infant
1387-92142,Red-tailed,F,369.0,1049.0,32.0,231,Infant
1387-92143,Red-tailed,M,354.0,998.0,29.2,227,Infant
1387-92144,Red-tailed,F,367.0,1091.0,34.2,238,Infant
1387-92145,Red-tailed,M,349.0,987.0,31.1,225,Infant
1387-92146,Red-tailed,F,375.0,1151.0,33.7,249,Infant
1387-92147,Red-tailed,M,343.0,971.0,26.1,213,Infant
1387-92148,Red-tailed,F,360.0,1159.0,34.0,240,Infant
1387-92149,Red-tailed,M,395.0,1239.0,33.2,231,Infant
1387-92151,Red-tailed,M,369.0,1039.0,29.5,223,Infant
1387-92152,Red-tailed,F,365.0,1079.0,30.0,228,Infant
1387-92153,Red-tailed,M,375.0,1159.0,32.7,242,
1387-92154,Red-tailed,F,382.0,1403.0,34.7,247,
1387-92155,Red-tailed,F,478.0,1473.0,44.7,267,
1387-92156,Red-tailed,M,373.0,914.0,30.4,221,Infant
1387-92157,Red-tailed,M,469.0,1001.0,43.2,257,Infant
1387-92158,Red-tailed,F,386.0,1059.0,30.5,214,
1387-92159,Red-tailed,M,374.0,1064.0,32.1,201,
1387-92160,Red-tailed,M,374.0,1213.0,28.0,244,Infant
1387-92161,Red-tailed,F,389.0,1200.0,30.8,230,Infant
1387-92162,Red-tailed,M,379.0,1040.0,29.4,227,Infant
1387-92166,Red-tailed,M,373.0,919.0,28.5,233,Infant
1387-92173,Red-tailed,F,382.0,979.0,27.9,225,Infant
1387-92174,Red-tailed,F,407.0,1339.0,33.4,246,Infant
1387-92175,Red-tailed,M,403.0,1199.0,31.0,225,Infant
1387-92177,Red-tailed,F,395.0,1039.0,29.7,230,Infant
1387-92178,Red-tailed,F,402.0,985.0,29.8,234,Infant
1387-92180,Red-tailed,M,480.0,1598.0,35.4,239,
1387-92181,Red-tailed,F,412.0,992.0,31.5,230,Infant
1387-92183,Red-tailed,F,391.0,1097.0,32.8,217,
1387-92184,Red-tailed,M,376.0,1019.0,29.5,216,Infant
1387-92185,Red-tailed,F,396.0,1169.0,25.2,238,Infant
1387-92186,Red-tailed,M,383.0,1164.0,29.9,199,Infant
1387-92187,Red-tailed,M,271.0,,33.0,235,Infant
1387-92188,Red-tailed,M,392.0,890.0,29.2,219,Infant
1387-92189,Red-tailed,F,370.0,1030.0,31.4,225,Infant
1387-92190,Red-tailed,M,376.0,985.0,30.3,223,Infant
1387-92191,Red-tailed,F,372.0,975.0,31.6,225,Infant
1387-92192,Red-tailed,M,364.0,1044.0,29.0,210,Infant
1387-92193,Red-tailed,M,381.0,1080.0,32.3,223,Infant
1387-92194,Red-tailed,F,375.0,890.0,28.0,219,Infant
1387-92195,Red-tailed,M,392.0,1105.0,33.6,229,Infant
1387-92196,Red-tailed,M,381.0,969.0,31.1,220,Infant
1387-97105,Red-tailed,F,375.0,1065.0,30.0,216,Infant
1387-99101,Red-tailed,F,369.0,1025.0,31.5,228,Infant
1387-99102,Red-tailed,M,372.0,930.0,31.1,220,Infant
1387-99103,Red-tailed,M,412.0,1255.0,32.6,236,Infant
1387-99104,Red-tailed,F,415.0,1360.0,33.5,233,Infant
1387079145,Red-tailed,F,388.0,995.0,30.7,222,Infant
1397-79198,Red-tailed,F,401.0,1000.0,28.0,212,Infant
1397-92150,Red-tailed,F,400.0,1216.0,32.1,227,Infant
1423-11209,Sharp-shinned,F,204.0,180.0,15.2,160,
1423-16201,Sharp-shinned,F,205.0,194.0,14.4,155,Infant
1423-16203,Sharp-shinned,M,175.0,108.0,11.5,137,Infant
1423-16204,Sharp-shinned,M,166.0,94.0,11.3,127,Infant
1423-16205,Sharp-shinned,M,177.0,91.0,11.3,133,Infant
1423-16206,Sharp-shinned,M,174.0,93.0,11.0,131,Infant
1423-16207,Sharp-shinned,F,197.0,211.0,13.9,150,Infant
1423-16208,Sharp-shinned,F,209.0,196.0,14.6,164,Infant
1423-16210,Sharp-shinned,F,204.0,164.0,14.3,157,Infant
1423-16211,Sharp-shinned,F,213.0,190.0,15.5,160,Infant
1423-16212,Sharp-shinned,F,204.0,190.0,13.9,154,Infant
1423-16213,Sharp-shinned,F,201.0,206.0,13.5,151,Infant
1423-16214,Sharp-shinned,F,202.0,195.0,14.8,158,Infant
1423-16221,Sharp-shinned,M,178.0,90.0,12.1,145,Infant
1423-16223,Sharp-shinned,M,171.0,90.0,11.9,138,
1423-16228,Sharp-shinned,F,193.0,186.0,14.0,155,Infant
1423-16229,Sharp-shinned,F,190.0,164.0,14.5,155,Infant
1423-16231,Sharp-shinned,F,157.0,92.0,14.7,132,Infant
1423-16232,Sharp-shinned,F,165.0,92.0,14.6,135,Infant
1423-16233,Sharp-shinned,F,259.0,439.0,15.2,218,Infant
1423-16234,Sharp-shinned,F,201.0,185.0,14.5,162,Infant
1423-16235,Sharp-shinned,M,193.0,181.0,11.5,150,Infant
1423-16236,Sharp-shinned,F,170.0,177.0,14.4,155,
1423-16238,Sharp-shinned,M,230.0,162.0,13.8,149,Infant
1423-16239,Sharp-shinned,M,168.0,175.0,14.0,158,Infant
1423-16240,Sharp-shinned,F,199.0,196.0,15.2,158,Infant
1423-16241,Sharp-shinned,F,202.0,180.0,14.1,160,Infant
1423-16242,Sharp-shinned,M,170.0,101.0,11.0,135,Infant
1423-16243,Sharp-shinned,F,196.0,160.0,14.7,137,Infant
1423-16276,Sharp-shinned,M,161.0,98.0,11.7,133,Infant
1423-16277,Sharp-shinned,M,156.0,94.0,11.4,125,Infant
1423-16278,Sharp-shinned,M,172.0,98.0,10.9,148,Infant
1426-16230,Sharp-shinned,F,198.0,158.0,14.5,154,
1705-14646,Coopers,M,227.0,330.0,18.5,193,Infant
1705-24603,Coopers,F,265.0,365.0,22.5,224,Infant
1705-24606,Coopers,M,223.0,550.0,21.3,210,Infant
1705-24607,Coopers,F,273.0,530.0,24.7,213,Infant
1705-24608,Coopers,F,259.0,470.0,23.4,221,Infant
1705-24609,Coopers,M,225.0,350.0,26.0,215,Infant
1705-24610,Coopers,M,247.0,375.0,18.2,160,
1705-24611,Coopers,M,225.0,400.0,20.0,202,Infant
1705-24626,Coopers,F,265.0,464.0,24.1,225,Infant
1705-24627,Coopers,M,194.0,163.0,20.0,158,Infant
1705-24628,Coopers,F,377.0,1119.0,23.9,226,
1705-24629,Coopers,F,199.0,187.0,24.2,157,Infant
1705-24630,Coopers,F,268.0,469.0,24.9,227,Infant
1705-24634,Coopers,F,260.0,569.0,24.0,227,Infant
1705-24637,Coopers,F,268.0,590.0,19.9,215,
1705-24639,Coopers,F,254.0,505.0,24.0,212,
1705-24640,Coopers,F,261.0,505.0,25.1,203,
1705-24641,Coopers,M,230.0,365.0,23.55,192,
1705-24642,Coopers,F,320.0,229.0,21.0,195,Infant
1705-24643,Coopers,F,258.0,490.0,24.2,214,Infant
1705-24644,Coopers,F,253.0,525.0,23.5,213,Infant
1705-24645,Coopers,F,253.0,540.0,22.6,209,
1705-24647,Coopers,F,261.0,455.0,26.8,216,Infant
1705-24648,Coopers,F,260.0,565.0,24.2,216,
1705-24649,Coopers,F,255.0,960.0,42.8,200,
1705-37411,Coopers,F,268.0,56.0,26.1,206,
1705-37412,Coopers,F,145.0,320.0,20.5,180,
1705-37413,Sharp-shinned,M,250.0,470.0,25.3,192,Infant
1705-37416,Coopers,F,260.0,565.0,54.5,205,
1705-37417,Coopers,F,256.0,510.0,23.3,212,Infant
1705-37418,Coopers,F,255.0,440.0,22.8,214,Infant
1705-37419,Coopers,M,230.0,330.0,19.4,188,
1705-37420,Coopers,F,252.0,470.0,28.4,211,
173-19904,Sharp-shinned,M,193.0,100.0,101.0,144,Infant
1750-24644,Coopers,F,254.0,515.0,23.8,218,
1801-53143,Red-tailed,F,362.0,840.0,26.1,206,Infant
1807-53101,Red-tailed,M,390.0,1090.0,28.8,226,Infant
1807-53103,Red-tailed,F,358.0,880.0,28.7,250,Infant
1807-53104,Red-tailed,M,373.0,930.0,27.4,210,Infant
1807-53105,Red-tailed,F,376.0,925.0,30.8,233,Infant
1807-53107,Red-tailed,M,350.0,730.0,25.7,208,Infant
1807-53108,Red-tailed,M,360.0,900.0,28.8,220,Infant
1807-53127,Red-tailed,F,351.0,949.0,29.7,213,Infant
1807-53128,Red-tailed,F,363.0,973.0,27.3,213,Infant
1807-53129,Red-tailed,F,369.0,749.0,26.8,216,Infant
1807-53130,Red-tailed,F,361.0,,27.9,214,Infant
1807-53131,Red-tailed,F,369.0,900.0,27.3,220,Infant
1807-53132,Red-tailed,F,364.0,800.0,28.6,219,Infant
1807-53133,Red-tailed,F,372.0,909.0,25.4,212,
1807-53134,Red-tailed,M,355.0,785.0,25.0,206,Infant
1807-53135,Red-tailed,M,359.0,895.0,30.1,201,
1807-53136,Red-tailed,M,391.0,795.0,27.6,209,Infant
1807-53137,Red-tailed,F,361.0,910.0,27.5,205,Infant
1807-53138,Red-tailed,M,366.0,935.0,27.1,218,Infant
1807-53139,Red-tailed,M,376.0,860.0,30.0,220,Infant
1807-53140,Red-tailed,F,370.0,830.0,27.8,233,Infant
1807-53141,Red-tailed,M,372.0,915.0,28.2,203,Infant
1807-53142,Red-tailed,F,371.0,1115.0,29.2,208,
1807-53145,Red-tailed,F,360.0,790.0,27.6,211,Infant
1807-66307,Red-tailed,F,370.0,845.0,27.4,217,Infant
1807-66308,Red-tailed,F,363.0,865.0,27.3,210,Infant
1807-66309,Red-tailed,M,378.0,960.0,30.0,206,
1807-82702,Red-tailed,F,371.0,905.0,26.8,197,Infant
1807-82703,Red-tailed,F,377.0,920.0,29.3,219,Infant
1807-82704,Red-tailed,M,354.0,960.0,31.0,211,Infant
1807-82705,Red-tailed,F,367.0,965.0,24.1,217,Infant
193-19905,Sharp-shinned,M,171.0,88.0,11.5,136,Infant
2003-00344,Sharp-shinned,F,194.0,155.0,14.5,156,Infant
2003-58433,Sharp-shinned,F,204.0,159.0,14.8,152,Infant
2003-58435,Sharp-shinned,F,208.0,168.0,14.8,155,
2003-58436,Sharp-shinned,F,208.0,146.0,14.9,160,Infant
2003-58437,Sharp-shinned,F,198.0,188.0,143.0,150,
2003-58438,Sharp-shinned,F,200.0,154.0,14.4,150,Infant
2003-58439,Sharp-shinned,F,209.0,151.0,13.9,160,Infant
2003-58440,Sharp-shinned,F,202.0,195.0,14.1,151,
2003-58441,Sharp-shinned,F,204.0,168.0,14.3,155,Infant
2003-58442,Sharp-shinned,F,209.0,176.0,15.1,159,Infant
2003-58443,Sharp-shinned,F,209.0,158.0,14.4,160,Infant
2003-58444,Sharp-shinned,F,209.0,169.0,14.5,164,Infant
2003-58464,Sharp-shinned,M,175.0,99.0,12.7,145,Infant
2003-58465,Sharp-shinned,F,203.0,165.0,14.4,165,Infant
2003-58466,Sharp-shinned,F,205.0,100.0,12.5,168,Infant
2003-58467,Sharp-shinned,F,203.0,150.0,13.9,159,Infant
2003-58468,Sharp-shinned,F,201.0,130.0,14.4,156,Infant
2003-58469,Sharp-shinned,F,202.0,150.0,14.1,153,Infant
2003-58576,Sharp-shinned,F,191.0,157.0,13.8,158,Infant
2003-58577,Sharp-shinned,F,191.0,155.0,14.4,158,Infant
2003-58578,Sharp-shinned,F,198.0,181.0,14.1,159,Infant
2003-58581,Sharp-shinned,F,205.0,156.0,14.1,144,
2003-59463,Sharp-shinned,F,200.0,160.0,13.2,153,Infant
2003-94317,Sharp-shinned,F,195.0,145.0,14.6,155,Infant
2003-99233,Sharp-shinned,F,207.0,185.0,14.3,163,Infant
2003-99306,Sharp-shinned,F,205.0,,15.0,161,Infant
2003-99307,Sharp-shinned,F,202.0,180.0,15.0,160,
2003-99308,Sharp-shinned,F,193.0,165.0,14.6,146,
2003-99309,Sharp-shinned,F,200.0,175.0,15.6,155,
2003-99310,Sharp-shinned,F,192.0,170.0,15.5,159,Infant
2003-99311,Sharp-shinned,F,199.0,165.0,15.7,161,
2003-99312,Sharp-shinned,F,199.0,200.0,14.9,169,
2003-99313,Sharp-shinned,F,194.0,155.0,13.7,153,Infant
2003-99314,Sharp-shinned,F,194.0,165.0,14.1,151,Infant
2003-99315,Sharp-shinned,F,205.0,175.0,15.5,169,
2003-99316,Sharp-shinned,M,184.0,155.0,14.9,153,Infant
2003-99318,Sharp-shinned,F,191.0,175.0,15.3,149,
2003-99320,Sharp-shinned,F,195.0,200.0,13.4,158,
2003-99321,Sharp-shinned,F,196.0,200.0,15.4,150,
2003-99323,Sharp-shinned,F,199.0,175.0,15.0,142,
2003-99324,Sharp-shinned,F,194.0,145.0,14.6,156,Infant
2003-99325,Sharp-shinned,F,190.0,175.0,15.2,160,Infant
2003-99326,Sharp-shinned,F,195.0,170.0,14.8,149,Infant
2003-99327,Sharp-shinned,F,201.0,165.0,14.8,165,Infant
2003-99328,Sharp-shinned,F,192.0,170.0,9.5,156,Infant
2003-99329,Sharp-shinned,F,199.0,180.0,15.5,152,
2003-99330,Sharp-shinned,F,203.0,185.0,14.2,157,
2003-99331,Sharp-shinned,F,199.0,175.0,14.5,159,
2003-99332,Sharp-shinned,F,213.0,190.0,15.2,159,
2003-99333,Sharp-shinned,F,202.0,175.0,14.9,162,
2003-99334,Sharp-shinned,F,200.0,180.0,13.5,163,
2003-99335,Sharp-shinned,F,195.0,170.0,14.7,154,Infant
2003-99336,Sharp-shinned,F,203.0,191.0,15.5,161,Infant
2003-99337,Sharp-shinned,F,199.0,185.0,14.9,157,Infant
2003-99338,Sharp-shinned,F,194.0,165.0,14.4,158,Infant
2003-99339,Sharp-shinned,F,196.0,205.0,14.0,156,
2003-99340,Sharp-shinned,F,197.0,160.0,14.7,153,Infant
2003-99341,Sharp-shinned,F,190.0,180.0,14.2,156,Infant
2003-99342,Sharp-shinned,F,197.0,165.0,14.9,159,
2003-99345,Sharp-shinned,F,190.0,170.0,15.0,154,Infant
2003-99346,Sharp-shinned,F,203.0,180.0,14.7,156,
2003-99348,Sharp-shinned,M,191.0,190.0,14.8,147,
2003-99349,Sharp-shinned,F,193.0,180.0,14.3,156,Infant
2003-99350,Sharp-shinned,F,198.0,185.0,15.2,165,Infant
2003-99351,Sharp-shinned,F,199.0,190.0,15.2,163,Infant
2003-99352,Sharp-shinned,F,193.0,190.0,15.2,151,Infant
2003-99353,Sharp-shinned,F,193.0,200.0,13.5,155,Infant
2003-99354,Sharp-shinned,M,185.0,170.0,14.7,156,Infant
2003-99355,Sharp-shinned,F,193.0,185.0,14.9,158,Infant
2003-99356,Sharp-shinned,F,198.0,185.0,15.1,161,Infant
2003-99357,Sharp-shinned,F,194.0,170.0,14.0,153,Infant
2003-99358,Sharp-shinned,F,200.0,165.0,14.5,163,Infant
2003-99359,Sharp-shinned,F,191.0,190.0,14.8,162,Infant
2003-99360,Sharp-shinned,M,183.0,160.0,14.6,143,Infant
2003-99362,Sharp-shinned,M,197.0,175.0,14.9,150,Infant
2003-99363,Sharp-shinned,F,196.0,160.0,14.5,158,Infant
2003-99364,Sharp-shinned,M,181.0,150.0,14.3,141,Infant
2003-99365,Sharp-shinned,F,201.0,188.0,14.9,162,Infant
2003-99366,Sharp-shinned,F,191.0,165.0,14.9,156,Infant
2003-99367,Sharp-shinned,F,191.0,170.0,15.1,163,Infant
2003-99368,Sharp-shinned,F,192.0,175.0,14.2,160,
2003-99369,Sharp-shinned,F,195.0,195.0,14.0,158,
2003-99370,Sharp-shinned,F,194.0,210.0,14.5,147,
2003-99371,Sharp-shinned,F,143.0,170.0,13.9,159,Infant
2003-99372,Sharp-shinned,F,194.0,185.0,14.8,152,
2003-99373,Sharp-shinned,F,193.0,105.0,15.6,156,Infant
2003-99374,Sharp-shinned,F,190.0,200.0,15.0,157,Infant
2003-99375,Sharp-shinned,F,197.0,185.0,15.6,157,Infant
2107-64631,Red-tailed,F,405.0,1350.0,32.6,226,Infant
22-06-35428,Coopers,F,252.0,540.0,28.8,185,
2206-35417,Coopers,F,260.0,420.0,23.9,220,Infant
2206-35431,Coopers,F,272.0,565.0,24.0,219,Infant
2206-35432,Coopers,F,266.0,535.0,25.4,223,
2206-35435,Coopers,F,169.0,640.0,23.6,233,
608-48703,Red-tailed,M,427.0,1490.0,32.4,246,Infant
745-49508,Coopers,F,265.0,470.0,23.5,220,Infant
745-49512,Coopers,F,252.0,340.0,20.8,230,Infant
745-49513,Coopers,M,240.0,340.0,19.3,192,
745-49515,Coopers,F,271.0,475.0,24.75,232,Infant
787-53708,Red-tailed,F,369.0,880.0,26.5,210,Infant
788-36611,Red-tailed,F,411.0,1220.0,32.7,236,
803-05929,Sharp-shinned,F,196.0,155.0,14.3,164,
803-05930,Sharp-shinned,F,194.0,185.0,15.5,154,
803-05931,Sharp-shinned,F,188.0,175.0,14.2,154,
803-05932,Sharp-shinned,F,196.0,180.0,13.9,150,
803-05933,Sharp-shinned,F,190.0,175.0,14.6,147,
803-05934,Sharp-shinned,F,190.0,,14.6,153,Infant
803-05935,Sharp-shinned,F,203.0,180.0,15.6,162,
803-05936,Sharp-shinned,F,194.0,175.0,14.0,152,
803-05937,Sharp-shinned,F,201.0,175.0,14.8,157,Infant
803-05938,Sharp-shinned,F,200.0,165.0,14.2,154,Infant
803-05939,Sharp-shinned,F,210.0,200.0,15.3,165,Infant
803-05940,Sharp-shinned,F,193.0,190.0,14.9,145,
803-05941,Sharp-shinned,F,196.0,175.0,15.6,153,Infant
803-05942,Sharp-shinned,F,193.0,185.0,14.8,154,
803-05943,Sharp-shinned,F,195.0,175.0,15.6,152,Infant
803-05944,Sharp-shinned,F,198.0,190.0,15.8,158,Infant
803-05985,Sharp-shinned,F,190.0,175.0,15.4,150,Infant
804-00201,Sharp-shinned,F,199.0,155.0,14.5,160,Infant
804-00202,Coopers,M,227.0,155.0,21.0,192,Infant
804-00203,Coopers,M,230.0,340.0,20.2,198,
804-00205,Coopers,M,234.0,380.0,21.9,192,
804-00206,Coopers,M,223.0,390.0,20.6,181,
872-09611,Sharp-shinned,M,170.0,90.0,11.3,135,Infant
872-09612,Sharp-shinned,M,169.0,94.0,10.2,129,Infant
872-09613,Sharp-shinned,M,170.0,89.0,11.0,136,Infant
872-09614,Sharp-shinned,M,177.0,97.0,11.3,137,
872-09615,Sharp-shinned,M,170.0,93.0,11.2,126,
872-09616,Sharp-shinned,M,173.0,103.0,19.4,137,Infant
872-09617,Sharp-shinned,M,177.0,101.0,12.1,140,Infant
872-09618,Sharp-shinned,M,179.0,95.0,11.6,133,Infant
872-09619,Sharp-shinned,M,172.0,89.0,10.8,136,Infant
